variant,start_trade,end_trade,window_total_r,window_avg_r,window_pf,window_dd_r
T5_6H_ALL_max5,0,30,38.33295485984229,1.277765161994743,2.698278660503396,-11.3450708980419
T5_6H_ALL_max5,1,31,38.43371531611606,1.2811238438705352,2.710377859545564,-11.345070898041907
T5_6H_ALL_max5,2,32,38.43371531611606,1.2811238438705352,2.7103778595455634,-11.34507089804191
T5_6H_ALL_max5,3,33,38.43371531611605,1.281123843870535,2.710377859545564,-11.345070898041904
T5_6H_ALL_max5,4,34,41.840494977133005,1.3946831659044334,2.950524758629553,-11.34507089804191
T5_6H_ALL_max5,5,35,41.840494977133,1.3946831659044332,2.9505247586295527,-11.34507089804191
T5_6H_ALL_max5,6,36,41.840494977133,1.3946831659044332,2.9505247586295527,-11.34507089804191
T5_6H_ALL_max5,7,37,38.255013294636385,1.2751671098212127,2.7024252591143827,-11.345070898041904
T5_6H_ALL_max5,8,38,48.85783804566525,1.6285946015221748,3.2776600232207143,-11.34507089804191
T5_6H_ALL_max5,9,39,23.410292666998675,0.7803430888999559,2.091343577046603,-11.345070898041865
T5_6H_ALL_max5,10,40,22.521944629274298,0.7507314876424765,2.008178661820177,-11.345070898041865
T5_6H_ALL_max5,11,41,17.493757772583884,0.5831252590861294,1.7489009965344657,-11.345070898041865
T5_6H_ALL_max5,12,42,8.913664459986675,0.2971221486662225,1.3656252051668494,-11.345070898041868
T5_6H_ALL_max5,13,43,2.4381297397991615,0.08127099132663872,1.0959922337675416,-10.325070898041869
T5_6H_ALL_max5,14,44,2.4381297397991633,0.08127099132663877,1.0959922337675416,-9.305070898041867
T5_6H_ALL_max5,15,45,2.438129739799164,0.0812709913266388,1.0959922337675418,-8.285070898041866
T5_6H_ALL_max5,16,46,2.438129739799166,0.08127099132663887,1.0959922337675418,-7.265070898041867
T5_6H_ALL_max5,17,47,2.438129739799164,0.0812709913266388,1.0959922337675418,-8.159999999999997
T5_6H_ALL_max5,18,48,2.438129739799167,0.0812709913266389,1.095992233767542,-9.179999999999996
T5_6H_ALL_max5,19,49,2.4381297397991673,0.08127099132663891,1.095992233767542,-10.199999999999998
T5_6H_ALL_max5,20,50,2.438129739799166,0.08127099132663887,1.095992233767542,-11.219999999999999
T5_6H_ALL_max5,21,51,2.438129739799166,0.08127099132663887,1.095992233767542,-12.239999999999998
T5_6H_ALL_max5,22,52,2.4381297397991646,0.08127099132663881,1.095992233767542,-13.26
T5_6H_ALL_max5,23,53,2.615359240569064,0.08717864135230213,1.1029699820762968,-13.259999999999998
T5_6H_ALL_max5,24,54,2.6153592405690644,0.08717864135230215,1.1029699820762968,-13.259999999999998
T5_6H_ALL_max5,25,55,2.615359240569065,0.08717864135230216,1.1029699820762968,-13.259999999999998
T5_6H_ALL_max5,26,56,5.519041960115807,0.18396806533719356,1.2263828594906305,-13.26
T5_6H_ALL_max5,27,57,9.302122884087048,0.3100707628029016,1.3982202788183398,-13.26
T5_6H_ALL_max5,28,58,11.786429453430115,0.39288098178100384,1.5276110420124047,-13.259999999999998
T5_6H_ALL_max5,29,59,3.4618584738955307,0.11539528246318435,1.1549676060870104,-13.259999999999996
T5_6H_ALL_max5,30,60,4.769780448417822,0.1589926816139274,1.223731265772163,-13.259999999999996
T5_6H_ALL_max3,0,30,35.92396008271821,1.197465336090607,2.537890821123352,-11.3450708980419
T5_6H_ALL_max3,1,31,35.92396008271821,1.197465336090607,2.5378908211233515,-11.345070898041904
T5_6H_ALL_max3,2,32,46.52678483374706,1.5508928277915686,3.082738078110348,-11.34507089804191
T5_6H_ALL_max3,3,33,48.45845067438599,1.6152816891461999,3.1692077109220618,-11.345070898041907
T5_6H_ALL_max3,4,34,48.45845067438599,1.6152816891461999,3.1692077109220613,-11.3450708980419
T5_6H_ALL_max3,5,35,17.493757772583884,0.5831252590861294,1.7489009965344657,-11.345070898041865
T5_6H_ALL_max3,6,36,8.913664459986675,0.2971221486662225,1.3656252051668494,-11.345070898041868
T5_6H_ALL_max3,7,37,2.4381297397991615,0.08127099132663872,1.0959922337675416,-10.325070898041869
T5_6H_ALL_max3,8,38,2.4381297397991633,0.08127099132663877,1.0959922337675416,-9.305070898041867
T5_6H_ALL_max3,9,39,2.438129739799164,0.0812709913266388,1.0959922337675418,-8.285070898041866
T5_6H_ALL_max3,10,40,2.438129739799166,0.08127099132663887,1.0959922337675418,-7.265070898041867
T5_6H_ALL_max3,11,41,2.438129739799164,0.0812709913266388,1.0959922337675418,-8.159999999999997
T5_6H_ALL_max3,12,42,2.438129739799167,0.0812709913266389,1.095992233767542,-9.179999999999996
T5_6H_ALL_max3,13,43,2.4381297397991673,0.08127099132663891,1.095992233767542,-10.199999999999998
T5_6H_ALL_max3,14,44,2.438129739799166,0.08127099132663887,1.095992233767542,-11.219999999999999
T5_6H_ALL_max3,15,45,2.438129739799166,0.08127099132663887,1.095992233767542,-12.239999999999998
T5_6H_ALL_max3,16,46,2.4381297397991646,0.08127099132663881,1.095992233767542,-13.26
T5_6H_ALL_max3,17,47,2.615359240569064,0.08717864135230213,1.1029699820762968,-13.259999999999998
T5_6H_ALL_max3,18,48,2.6153592405690644,0.08717864135230215,1.1029699820762968,-13.259999999999998
T5_6H_ALL_max3,19,49,2.615359240569065,0.08717864135230216,1.1029699820762968,-13.259999999999998
T5_6H_ALL_max3,20,50,5.519041960115807,0.18396806533719356,1.2263828594906305,-13.26
T5_6H_ALL_max3,21,51,6.650159226967149,0.22167197423223828,1.2846907415165933,-13.26
T5_6H_ALL_max3,22,52,7.958081201489441,0.26526937338298134,1.3562377844560243,-13.259999999999998
T5_6H_SHORT_max5,0,30,33.19814208635607,1.106604736211869,2.627359906193925,-9.18
T5_6H_SHORT_max5,1,31,37.82987425520614,1.2609958085068713,2.9520058955214727,-9.18
T5_6H_SHORT_max5,2,32,43.11800984842648,1.4372669949475494,3.3484754819404396,-9.18
T5_6H_SHORT_max5,3,33,48.064511906039655,1.6021503968679884,3.7718864997716053,-9.18
T5_6H_SHORT_max5,4,34,53.23138458836351,1.7743794862787836,4.261726996835998,-9.18
T5_6H_SHORT_max5,5,35,53.23138458836352,1.7743794862787838,4.261726996835998,-9.18
T5_6H_SHORT_max5,6,36,53.23138458836352,1.7743794862787838,4.261726996835998,-9.180000000000003
T5_6H_SHORT_max5,7,37,53.23138458836351,1.7743794862787836,4.261726996835998,-9.18
T5_6H_SHORT_max5,8,38,45.180925872767176,1.5060308624255725,3.6055897273798827,-9.18
T5_6H_SHORT_max5,9,39,38.91960900033919,1.2973203000113065,3.1198044117831802,-9.18
T5_6H_SHORT_max5,10,40,30.928156008886198,1.03093853362954,2.5958800830178634,-9.18
T5_6H_SHORT_max5,11,41,22.348062696288995,0.7449354232096331,2.095493269425931,-9.180000000000001
T5_6H_SHORT_max5,12,42,13.790187933480631,0.45967293111602103,1.6437996234117942,-8.160000000000004
T5_6H_SHORT_max5,13,43,13.790187933480631,0.45967293111602103,1.6437996234117942,-9.179999999999996
T5_6H_SHORT_max5,14,44,13.79018793348063,0.459672931116021,1.643799623411794,-10.199999999999998
T5_6H_SHORT_max5,15,45,13.790187933480633,0.4596729311160211,1.6437996234117942,-11.219999999999997
T5_6H_SHORT_max5,16,46,13.790187933480631,0.45967293111602103,1.6437996234117944,-12.239999999999998
T5_6H_SHORT_max5,17,47,13.790187933480635,0.45967293111602114,1.6437996234117946,-13.259999999999998
T5_6H_SHORT_max5,18,48,13.790187933480638,0.45967293111602125,1.6437996234117944,-14.279999999999994
T5_6H_SHORT_max5,19,49,13.790187933480631,0.45967293111602103,1.6437996234117942,-15.299999999999997
T5_6H_SHORT_max5,20,50,13.790187933480633,0.4596729311160211,1.6437996234117944,-16.32
T5_6H_SHORT_max5,21,51,13.790187933480635,0.45967293111602114,1.6437996234117944,-17.339999999999996
T5_6H_SHORT_max5,22,52,10.566079274737003,0.35220264249123345,1.4708591477155526,-18.359999999999996
T5_6H_SHORT_max5,23,53,10.566079274737,0.35220264249123334,1.4708591477155526,-19.379999999999995
T5_6H_SHORT_max5,24,54,2.0956108429651064,0.06985369476550354,1.0893269754034574,-20.4
T5_6H_SHORT_max5,25,55,-2.536573065080871,-0.0845524355026957,0.8963818192368926,-21.419999999999998
T5_6H_SHORT_max5,26,56,-7.025781698174392,-0.23419272327247975,0.7244791490912004,-22.44
T5_6H_SHORT_max5,27,57,-7.0257816981743915,-0.23419272327247972,0.7244791490912004,-23.46
T5_6H_SHORT_max5,28,58,-0.2853970827897756,-0.00951323609299252,0.9883416224350582,-23.46
T5_6H_SHORT_max5,29,59,-3.826372882607948,-0.12754576275359827,0.8499461614663549,-23.46
T5_6H_SHORT_max5,30,60,-3.8263728826079486,-0.12754576275359827,0.8499461614663549,-23.46
