act_r,trail,trades,avg_r,pf,beats_bl,is_canonical
7.0,4.5,410,1.280146494802299,3.362973706567011,True,False
7.0,5.0,399,1.5489453727505669,3.872971596371339,True,False
7.0,5.5,381,1.6945818163932722,4.1425967961441685,True,False
8.0,4.5,408,1.4721703071779513,3.7138594462013734,True,False
8.0,5.0,399,1.5101997153865563,3.811473806115737,True,True
8.0,5.5,382,1.6639605024847302,4.0960022227110695,True,False
9.0,4.5,407,1.4571653198932812,3.687368097959067,True,False
9.0,5.0,400,1.4860931204916807,3.7560223374270785,True,False
9.0,5.5,383,1.6429400626123956,4.0447030914863,True,False
