trades,total_r,avg_r,win_rate,profit_factor,max_dd_r,std_r,t_score,removed_n,removed,assets_remaining
419,619.215501613711,1.477841292634155,0.3937947494033413,3.735962751662362,-31.662172090006493,5.732365586530135,5.27716809954053,0,,24
402,550.8730520454087,1.3703309752373352,0.39552238805970147,3.5549723580042154,-42.89303947787408,5.56301594800818,4.9388768391195095,1,FET/USDT,23
372,424.21838951489434,1.1403720148249847,0.3924731182795699,3.1109969994156463,-46.05058557902916,4.4349813589009495,4.959366706924482,3,"FET/USDT,MTL/USDT,ADA/USDT",21
337,330.66556012521494,0.9812034425080562,0.39465875370919884,2.8147710538069517,-39.949872234057466,3.6836545385297077,4.88984529765643,5,"FET/USDT,MTL/USDT,ADA/USDT,ZEC/USDT,CELR/USDT",19
