block_size,total_r_p05,total_r_p50,total_r_p95,dd_p95,pf_p05,pf_p50,prob_positive
1,420.21725850117434,599.7525687905757,802.6939872661628,-8.433264335635029,2.8938724426401246,3.812816199640138,1.0
3,387.11577673042194,602.3788270706974,856.2735303255058,-10.120153482313833,2.7139129786566203,3.807659765019004,1.0
5,373.0579657320854,598.4297768088859,868.4221024516598,-11.718466422038858,2.6466774840252176,3.8045515829726426,1.0
10,316.36783456124283,596.3579295727261,916.9170048970036,-13.16787626280445,2.367388647128131,3.800767911539524,1.0
20,275.78680501136427,582.1573981236884,956.5251001256507,-15.042900969551983,2.175522680414537,3.7335357803391136,1.0
