n,avg_r,total_r,win_rate,pf,t_stat,trades_per_year,n_symbols_traded,dominant_month_share,dominant_asset_share,gate_diversification,pivot_n,trigger_n,exit_n,profitable,gate_avgr,zone_frac,gate_stability,all_gates
2654,-0.10279131244616686,-272.80814323212684,0.39826676714393366,0.7892099373456877,-4.742059996816819,530.8726725082147,203,0.565543279332478,0.044336763708494896,False,5,10,10,False,False,0.0,False,False
2005,-0.11116287155587062,-222.8815574695206,0.39950124688279304,0.771249929676489,-4.471841047987304,401.0549014238773,203,0.3307933663377207,0.05043211208867516,False,5,20,10,False,False,0.0,False,False
1779,-0.13352329049342926,-237.53793378781063,0.3979763912310287,0.7355372170228632,-5.155644831443255,355.84871303395397,203,0.349745513559591,0.039483544224700386,False,10,10,10,False,False,0.0,False,False
1430,-0.1717349422522612,-245.58096742073354,0.3853146853146853,0.6656896335314538,-6.113024238506343,286.039156626506,203,0.389617524659277,0.02829387413545563,False,10,20,10,False,False,0.0,False,False
1532,-0.21012846896126353,-321.9168144486557,0.4073107049608355,0.687870292395423,-5.838560204047276,306.4419496166484,203,0.34206249175226877,0.038784194069948284,False,5,20,20,False,False,0.0,False,False
1970,-0.23523826759385377,-463.4193871598919,0.39847715736040606,0.662219093938714,-7.432034217897421,394.0539430449069,203,0.48473376267344165,0.031004886369314394,False,5,10,20,False,False,0.0,False,False
1384,-0.28672741519265177,-396.83074262663007,0.3836705202312139,0.6057374752665268,-7.632758811199054,276.8378970427163,203,0.29250604017246806,0.0343780841381396,False,10,10,20,False,False,0.0,False,False
1143,-0.3245566592102551,-370.9682614773216,0.3700787401574803,0.5650717765702831,-7.855063369978341,228.63129791894852,203,0.3897120810048061,0.028110406383219304,False,10,20,20,False,False,0.0,False,False
