act_r,avg_r,pf,trades,total_r,beats_baseline,zone_pct,zone_pass
2.0,0.7881984223229758,2.607564316399511,501,394.88740958381084,False,0.0,False
3.0,0.9030164174777943,2.6996448801689246,484,437.0599460592524,False,0.3333333333333333,False
4.0,1.1056562123760039,3.0845146101967815,460,508.60185769296174,True,0.6666666666666666,False
6.0,1.216007576838618,3.219977749911054,441,536.2593413858306,True,1.0,True
8.0,1.229211585173635,3.232301682068648,431,529.7901932098366,True,1.0,True
