symbol,entry_time,exit_time,net_r,mae_r,mfe_r,exit_reason,partial_done,month
CELR/USDT,2021-03-05 00:00:00+00:00,2021-03-23 00:00:00+00:00,4.594024307006151,-0.3354469547781379,8.557038235932204,chandelier_stop,False,2021-03
BTC/USDT,2021-02-06 00:00:00+00:00,2021-03-24 00:00:00+00:00,2.173241355050913,-0.3041876151407006,3.7539337056220528,midline_exit,False,2021-03
ZEC/USDT,2021-01-09 00:00:00+00:00,2021-03-24 00:00:00+00:00,3.505917466284836,-0.1951292678777256,7.99032987440907,midline_exit,False,2021-03
MTL/USDT,2021-03-29 00:00:00+00:00,2021-03-30 00:00:00+00:00,-1.0000000000000004,-1.4977378261296739,5.071876483507949,initial_stop,False,2021-03
TRX/USDT,2021-03-17 00:00:00+00:00,2021-04-06 00:00:00+00:00,7.257429891834403,-0.31714686073949316,11.093092417865854,chandelier_stop,False,2021-04
JST/USDT,2021-03-14 00:00:00+00:00,2021-04-06 00:00:00+00:00,5.401572082563433,-0.6075990890001703,9.366022149828718,chandelier_stop,False,2021-04
SC/USDT,2021-04-02 00:00:00+00:00,2021-04-07 00:00:00+00:00,-0.9999999999999998,-1.0767723469734019,1.0687107806645881,initial_stop,False,2021-04
FET/USDT,2021-03-03 00:00:00+00:00,2021-04-07 00:00:00+00:00,2.2569162307141934,-0.6079009417701574,5.013064902315076,midline_exit,False,2021-04
ARDR/USDT,2021-02-05 00:00:00+00:00,2021-04-07 00:00:00+00:00,12.25589164142492,-0.298687463868983,19.093665914615382,chandelier_stop,False,2021-04
DUSK/USDT,2021-03-08 00:00:00+00:00,2021-04-12 00:00:00+00:00,0.5523971261550623,-0.3786384057213102,2.182357660373168,midline_exit,False,2021-04
ARDR/USDT,2021-04-09 00:00:00+00:00,2021-04-18 00:00:00+00:00,-1.0,-1.6124706585633044,2.9213796367745313,initial_stop,False,2021-04
VET/USDT,2021-03-08 00:00:00+00:00,2021-04-18 00:00:00+00:00,10.121239802986068,-0.5014042327507928,15.011545873003609,chandelier_stop,False,2021-04
