entry_n,exit_n,trades,total_r,avg_r,profit_factor
15,7,112,19.666304530948334,0.17559200474061012,1.2949478936830718
20,10,91,26.876776317853746,0.29534919030608514,1.511109506415465
25,12,80,33.86011452823189,0.42325143160289863,1.718443957859969
