symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,month,year
DUSK/USDT,2024-03-25 00:00:00+00:00,2024-04-05 00:00:00+00:00,0.5692,0.4615609008943199,0.4615609008943199,0.10763909910568012,initial_stop,12,-1.0000000000000002,-1.1036881670977394,1.0832494973366693,2024-04,2024
ETC/USDT,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,35.65,30.84804283280673,30.84804283280673,4.801957167193268,initial_stop,5,-1.0000000000000002,-1.8471634983750782,0.03956720007793392,2024-04,2024
ETH/USDT,2024-04-08 00:00:00+00:00,2024-04-12 00:00:00+00:00,3694.61,3316.927304069845,3316.927304069845,377.68269593015515,initial_stop,5,-1.0000000000000002,-1.5743638943679892,0.08666004652236643,2024-04,2024
TRX/USDT,2024-05-09 00:00:00+00:00,2024-05-19 00:00:00+00:00,0.1262,0.12117,0.11985523394480443,0.006344766055195566,midline_exit,11,-0.7927794273645549,-0.8936499708065659,0.23168702946836847,2024-05,2024
FET/USDT,2024-05-21 00:00:00+00:00,2024-05-30 00:00:00+00:00,2.5282,2.1164487043904305,2.1164487043904305,0.4117512956095693,initial_stop,10,-1.0000000000000004,-1.019547490138471,0.44152866533390656,2024-05,2024
MTL/USDT,2024-05-17 00:00:00+00:00,2024-05-31 00:00:00+00:00,1.972,1.765,1.6894112809942858,0.2825887190057141,midline_exit,15,-0.7325133173338545,-0.785593992502974,0.13093233208382873,2024-05,2024
ETC/USDT,2024-05-20 00:00:00+00:00,2024-06-02 00:00:00+00:00,32.36,29.089004464160773,29.089004464160773,3.270995535839226,initial_stop,14,-1.0000000000000002,-1.1678401753061147,0.605320300289558,2024-06,2024
ETH/USDT,2024-05-20 00:00:00+00:00,2024-06-07 00:00:00+00:00,3661.78,3678.32,3390.1479483391827,271.6320516608177,midline_exit,19,0.06089119416825368,-0.6029479915886712,1.1604668818450394,2024-06,2024
BTC/USDT,2024-05-15 00:00:00+00:00,2024-06-14 00:00:00+00:00,66206.5,66043.99,60908.29013658809,5298.209863411912,midline_exit,31,-0.03067262418618927,-0.3026928040497139,1.0929200898567384,2024-06,2024
DUSK/USDT,2024-05-21 00:00:00+00:00,2024-06-14 00:00:00+00:00,0.37,0.3549,0.3094717320160338,0.0605282679839662,midline_exit,25,-0.24947021454504462,-0.7748445736531516,2.3955749078828785,2024-06,2024
TRX/USDT,2024-06-21 00:00:00+00:00,2024-07-22 00:00:00+00:00,0.11835,0.13340870099843002,0.11384646132112033,0.0045035386788796665,chandelier_stop,32,3.343748565778087,-0.5640009292940878,5.149284074933029,2024-07,2024
SOL/USDT,2024-07-15 00:00:00+00:00,2024-08-02 00:00:00+00:00,159.38,152.77,140.4470810923051,18.932918907694898,midline_exit,19,-0.34912736024625796,-0.4954333795930265,1.8275047903964523,2024-08,2024
BTC/USDT,2024-07-15 00:00:00+00:00,2024-08-02 00:00:00+00:00,64724.14,61498.33,60066.24184637039,4657.89815362961,midline_exit,19,-0.6925462716453611,-0.7501516531178853,1.149842659360537,2024-08,2024
BTC/USDT,2024-08-23 00:00:00+00:00,2024-08-27 00:00:00+00:00,64037.24,58366.4153148143,58366.4153148143,5670.824685185695,initial_stop,5,-1.0000000000000002,-1.058616750343679,0.16977424862297183,2024-08,2024
TRX/USDT,2024-08-19 00:00:00+00:00,2024-09-03 00:00:00+00:00,0.1432,0.15380251981436316,0.13700909389972546,0.0061909061002745356,chandelier_stop,16,1.7125958046582221,-0.17767996835733146,4.328930138160483,2024-09,2024
FET/USDT,2024-09-18 00:00:00+00:00,2024-10-01 00:00:00+00:00,1.452,1.486,1.224290742272505,0.22770925772749515,midline_exit,14,0.1493132090425968,-0.17566259887364327,1.2691622768620723,2024-10,2024
BTC/USDT,2024-09-18 00:00:00+00:00,2024-10-01 00:00:00+00:00,61759.99,60805.78,56999.18679296065,4760.803207039348,midline_exit,14,-0.20043046488229113,-0.335235448850345,0.9952123190041453,2024-10,2024
SOL/USDT,2024-09-19 00:00:00+00:00,2024-10-02 00:00:00+00:00,142.89,140.18,127.56939749646038,15.320602503539599,midline_exit,14,-0.17688599383567807,-0.2793623814083775,1.2329802300944601,2024-10,2024
TRX/USDT,2024-09-27 00:00:00+00:00,2024-10-19 00:00:00+00:00,0.1552,0.1567,0.1497247018860262,0.005475298113973806,midline_exit,23,0.27395768573253937,-0.4018046057410587,1.60721842296423,2024-10,2024
TRX/USDT,2024-10-24 00:00:00+00:00,2024-11-05 00:00:00+00:00,0.1646,0.1602,0.15960718953468953,0.004992810465310483,midline_exit,13,-0.8812671801925428,-0.9613823783918675,1.1816991734400073,2024-11,2024
TRX/USDT,2024-11-12 00:00:00+00:00,2024-11-13 00:00:00+00:00,0.1873,0.1811274518966782,0.1811274518966782,0.006172548103321807,initial_stop,2,-0.9999999999999982,-2.2357055415369587,0.7938374748935599,2024-11,2024
FET/USDT,2024-11-11 00:00:00+00:00,2024-11-13 00:00:00+00:00,1.58,1.35731688027867,1.35731688027867,0.22268311972133023,initial_stop,3,-0.9999999999999997,-1.6750259313179152,0.3008759715772124,2024-11,2024
ADA/USDT,2024-11-22 00:00:00+00:00,2024-11-26 00:00:00+00:00,1.0175,0.8896038278043955,0.8896038278043955,0.12789617219560453,initial_stop,5,-1.0000000000000002,-1.1196582160487953,1.06883574115831,2024-11,2024
TRX/USDT,2024-11-16 00:00:00+00:00,2024-11-26 00:00:00+00:00,0.2002,0.18695220880937696,0.18695220880937696,0.013247791190623028,initial_stop,11,-0.9999999999999999,-1.0492315133890855,1.8569133258540667,2024-11,2024
SOL/USDT,2024-10-20 00:00:00+00:00,2024-12-02 00:00:00+00:00,167.4,222.35441867462563,152.79459583790074,14.605404162099257,chandelier_stop,44,3.76260855671706,-0.8414693536446123,6.640692645239299,2024-12,2024
HBAR/USDT,2024-11-29 00:00:00+00:00,2024-12-04 00:00:00+00:00,0.17779,0.2942161199858735,0.14482722064116915,0.032962779358830865,chandelier_stop,6,3.53204803267545,-0.4283619365433512,6.504609264466003,2024-12,2024
TRX/USDT,2024-12-03 00:00:00+00:00,2024-12-04 00:00:00+00:00,0.4334,0.41431748849310934,0.41431748849310934,0.019082511506890665,initial_stop,2,-1.0,-5.843046391442631,0.869906458277558,2024-12,2024
ADA/USDT,2024-12-02 00:00:00+00:00,2024-12-09 00:00:00+00:00,1.2022,1.0135883473012093,1.0135883473012093,0.18861165269879065,initial_stop,8,-1.0,-1.5492149918575706,0.65849590002981,2024-12,2024
NEAR/USDT,2024-11-11 00:00:00+00:00,2024-12-09 00:00:00+00:00,5.562,6.432035549725963,4.90936659521432,0.6526334047856803,chandelier_stop,29,1.3331152578861265,-0.9454005809013376,4.1095046320541115,2024-12,2024
ETH/USDT,2024-11-07 00:00:00+00:00,2024-12-09 00:00:00+00:00,2895.47,3542.2863117932684,2652.8964032138574,242.5735967861422,chandelier_stop,33,2.6664745065536337,-0.037390714076750924,4.915044406300826,2024-12,2024
AVAX/USDT,2024-11-10 00:00:00+00:00,2024-12-09 00:00:00+00:00,31.89,44.35098488840447,28.68761765036402,3.2023823496359776,chandelier_stop,30,3.8911608696010136,-0.405947778268193,7.463193769699851,2024-12,2024
MTL/USDT,2024-12-01 00:00:00+00:00,2024-12-09 00:00:00+00:00,1.571,1.3385321476420218,1.3385321476420218,0.23246785235797812,initial_stop,9,-1.0000000000000002,-1.5529028910375733,1.079719184627233,2024-12,2024
ARDR/USDT,2024-12-01 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.12651,0.10729874817089241,0.10729874817089241,0.0192112518291076,initial_stop,9,-1.0,-1.2388573223500121,0.6912615647398376,2024-12,2024
ZRX/USDT,2024-12-03 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.6462,0.532259196052584,0.532259196052584,0.11394080394741606,initial_stop,7,-0.9999999999999997,-1.1470868685490265,2.332790280492205,2024-12,2024
ETC/USDT,2024-11-27 00:00:00+00:00,2024-12-10 00:00:00+00:00,32.9,27.969279969881434,27.969279969881434,4.930720030118564,initial_stop,14,-1.0000000000000002,-1.0039101733141746,1.433867661683074,2024-12,2024
VET/USDT,2024-12-02 00:00:00+00:00,2024-12-18 00:00:00+00:00,0.05764,0.049809795276043387,0.049809795276043387,0.007830204723956612,initial_stop,17,-0.9999999999999998,-1.090648367579938,2.855608606450518,2024-12,2024
FET/USDT,2024-11-28 00:00:00+00:00,2024-12-18 00:00:00+00:00,1.677,1.432,1.3996665945935802,0.2773334054064199,midline_exit,21,-0.8834132319579873,-0.9230766831887536,1.867787976139743,2024-12,2024
DUSK/USDT,2024-11-27 00:00:00+00:00,2024-12-18 00:00:00+00:00,0.2337,0.2139,0.1958870917278166,0.037812908272183386,midline_exit,22,-0.52363070984851,-0.6347038907254671,2.771540322834541,2024-12,2024
BTC/USDT,2024-10-15 00:00:00+00:00,2024-12-19 00:00:00+00:00,67074.14,96528.86099662626,62842.4513696874,4231.6886303126,chandelier_stop,66,6.960512355666963,-0.4287035645781874,9.754701634782302,2024-12,2024
VET/USDT,2025-01-17 00:00:00+00:00,2025-01-19 00:00:00+00:00,0.0561,0.04697882462822352,0.04697882462822352,0.00912117537177648,initial_stop,3,-1.0,-1.2827294206186557,0.07126274558992586,2025-01,2025
SOL/USDT,2025-01-18 00:00:00+00:00,2025-01-20 00:00:00+00:00,261.97,234.82173249694037,234.82173249694037,27.148267503059667,initial_stop,3,-0.9999999999999996,-1.1982348411858632,1.2472250760083996,2025-01,2025
HBAR/USDT,2025-01-16 00:00:00+00:00,2025-01-27 00:00:00+00:00,0.36278,0.3033361641162981,0.3033361641162981,0.059443835883701876,initial_stop,12,-1.0000000000000002,-1.2026478260902558,0.6495206681402268,2025-01,2025
BTC/USDT,2025-01-17 00:00:00+00:00,2025-02-02 00:00:00+00:00,104077.48,96720.0766356226,96720.0766356226,7357.403364377405,initial_stop,17,-0.9999999999999997,-1.0774834010573284,0.748976198135402,2025-02,2025
ADA/USDT,2025-03-02 00:00:00+00:00,2025-03-03 00:00:00+00:00,1.135,1.0063325112852122,1.0063325112852122,0.12866748871478778,initial_stop,2,-1.0000000000000004,-2.4264093681974446,0.3085472514972412,2025-03,2025
HBAR/USDT,2025-03-01 00:00:00+00:00,2025-03-09 00:00:00+00:00,0.25265,0.20798127360686755,0.20798127360686755,0.04466872639313244,initial_stop,9,-0.9999999999999999,-1.2176304182328812,0.7871278820567776,2025-03,2025
HBAR/USDT,2025-04-25 00:00:00+00:00,2025-05-05 00:00:00+00:00,0.19258,0.17349,0.16665226553404822,0.02592773446595178,midline_exit,11,-0.7362772102232428,-0.8057009387932708,0.2564821083281591,2025-05,2025
ETH/USDT,2025-05-13 00:00:00+00:00,2025-05-18 00:00:00+00:00,2679.71,2397.729428304193,2397.729428304193,281.9805716958071,initial_stop,6,-1.0000000000000002,-1.2642714987633348,0.16412478250425472,2025-05,2025
HBAR/USDT,2025-05-09 00:00:00+00:00,2025-05-29 00:00:00+00:00,0.20247,0.1795973283817865,0.1795973283817865,0.02287267161821353,initial_stop,21,-0.9999999999999996,-1.0383570575589374,1.1533414390907255,2025-05,2025
ADA/USDT,2025-05-08 00:00:00+00:00,2025-05-30 00:00:00+00:00,0.7693,0.6876127004673095,0.6876127004673095,0.08168729953269052,initial_stop,23,-0.9999999999999997,-1.0674854046938262,1.1629714844714854,2025-05,2025
BTC/USDT,2025-04-22 00:00:00+00:00,2025-05-30 00:00:00+00:00,93442.99,103985.48,87119.00367839301,6323.986321606987,midline_exit,39,1.6670640105560888,-0.2819392562422459,2.9312223425697668,2025-05,2025
